Recording timestamp	Sensor	Event	Event value	Gaze point X	Gaze point Y	Validity left	Validity right
63045		ImageStimulusStart	AussenUntenLinks - Kopie				
63046	Eye Tracker			802	458	Invalid	Valid
63049	Eye Tracker			802	459	Invalid	Valid
63053	Eye Tracker			804	499	Valid	Valid
63056	Eye Tracker			805	484	Valid	Valid
63056	Mouse						
63059	Eye Tracker			804	471	Valid	Valid
63063	Eye Tracker			798	464	Valid	Valid
63066	Eye Tracker			798	462	Valid	Valid
63069	Eye Tracker			792	460	Valid	Valid
63073	Eye Tracker			794	461	Valid	Valid
63076	Eye Tracker			795	464	Valid	Valid
63079	Eye Tracker			795	465	Valid	Valid
63080	Mouse						
63083	Eye Tracker			798	464	Valid	Valid
63086	Eye Tracker			796	462	Valid	Valid
63089	Eye Tracker			795	461	Valid	Valid
63093	Eye Tracker			797	461	Valid	Valid
63096	Eye Tracker			795	457	Valid	Valid
63099	Eye Tracker			791	453	Valid	Valid
63103	Eye Tracker			795	455	Valid	Valid
63106	Eye Tracker			794	453	Valid	Valid
63109	Eye Tracker			790	457	Valid	Valid
63113	Eye Tracker			793	457	Valid	Valid
63116	Eye Tracker			793	457	Valid	Valid
63119	Eye Tracker			794	457	Valid	Valid
63123	Eye Tracker			788	461	Valid	Valid
63126	Eye Tracker			791	461	Valid	Valid
63129	Eye Tracker			792	461	Valid	Valid
63133	Eye Tracker			788	462	Valid	Valid
63136	Eye Tracker			790	460	Valid	Valid
63139	Eye Tracker			789	460	Valid	Valid
63143	Eye Tracker			786	460	Valid	Valid
63146	Eye Tracker			793	465	Valid	Valid
63149	Eye Tracker			791	466	Valid	Valid
63153	Eye Tracker			787	467	Valid	Valid
63156	Eye Tracker			790	468	Valid	Valid
63159	Eye Tracker			789	463	Valid	Valid
63163	Eye Tracker			787	460	Valid	Valid
63166	Eye Tracker			789	456	Valid	Valid
63169	Eye Tracker			792	457	Valid	Valid
63173	Eye Tracker			790	453	Valid	Valid
63176	Eye Tracker			792	456	Valid	Valid
63179	Eye Tracker			788	458	Valid	Valid
63183	Eye Tracker			788	459	Valid	Valid
63186	Eye Tracker			788	458	Valid	Valid
63189	Eye Tracker			786	453	Valid	Valid
63193	Eye Tracker			790	453	Valid	Valid
63196	Eye Tracker			785	455	Valid	Valid
63199	Eye Tracker			783	455	Valid	Valid
63203	Eye Tracker			787	456	Valid	Valid
63206	Eye Tracker			787	458	Valid	Valid
63209	Eye Tracker			787	462	Valid	Valid
63213	Eye Tracker			789	464	Valid	Valid
63216	Eye Tracker			787	461	Valid	Valid
63219	Eye Tracker			785	462	Valid	Valid
63223	Eye Tracker			789	462	Valid	Valid
63226	Eye Tracker			784	462	Valid	Valid
63229	Eye Tracker			789	462	Valid	Valid
63233	Eye Tracker			790	460	Valid	Valid
63236	Eye Tracker			788	460	Valid	Valid
63239	Eye Tracker			790	459	Valid	Valid
63243	Eye Tracker			786	461	Valid	Valid
63246	Eye Tracker			786	463	Valid	Valid
63249	Eye Tracker			786	463	Valid	Valid
63253	Eye Tracker			783	464	Valid	Valid
63256	Eye Tracker			783	462	Valid	Valid
63259	Eye Tracker			782	463	Valid	Valid
63263	Eye Tracker			782	464	Valid	Valid
63266	Eye Tracker			782	462	Valid	Valid
63269	Eye Tracker			784	464	Valid	Valid
63273	Mouse						
63273	Eye Tracker			783	463	Valid	Valid
63276	Eye Tracker			783	460	Valid	Valid
63279	Eye Tracker			785	465	Valid	Valid
63283	Eye Tracker			789	464	Valid	Valid
63286	Eye Tracker			788	464	Valid	Valid
63289	Mouse						
63289	Eye Tracker			789	464	Valid	Valid
63293	Eye Tracker			787	461	Valid	Valid
63296	Eye Tracker			789	465	Valid	Valid
63299	Eye Tracker			790	465	Valid	Valid
63303	Eye Tracker			786	461	Valid	Valid
63305	Mouse						
63306	Eye Tracker			787	465	Valid	Valid
63309	Eye Tracker			795	467	Valid	Valid
63313	Eye Tracker			811	470	Valid	Valid
63316	Eye Tracker			842	469	Valid	Valid
63319	Eye Tracker			872	475	Valid	Valid
63321	Mouse						
63323	Eye Tracker			885	483	Valid	Valid
63326	Eye Tracker			850	508	Valid	Valid
63329	Eye Tracker			853	442	Invalid	Valid
63333	Eye Tracker					Invalid	Invalid
63336	Eye Tracker					Invalid	Invalid
63337	Mouse						
63339	Eye Tracker			920	494	Invalid	Valid
63343	Eye Tracker			869	470	Invalid	Valid
63346	Eye Tracker					Invalid	Invalid
63349	Eye Tracker					Invalid	Invalid
63353	Mouse						
63353	Eye Tracker					Invalid	Invalid
63356	Eye Tracker					Invalid	Invalid
63359	Eye Tracker					Invalid	Invalid
63363	Eye Tracker					Invalid	Invalid
63366	Eye Tracker					Invalid	Invalid
63369	Mouse						
63369	Eye Tracker			949	632	Invalid	Valid
63373	Eye Tracker					Invalid	Invalid
63376	Eye Tracker			948	852	Valid	Invalid
63379	Eye Tracker					Invalid	Invalid
63383	Eye Tracker			1099	655	Valid	Invalid
63385	Mouse						
63386	Eye Tracker			1084	589	Valid	Invalid
63389	Eye Tracker			1114	573	Valid	Invalid
63393	Eye Tracker					Invalid	Invalid
63396	Eye Tracker			1070	500	Valid	Invalid
63399	Eye Tracker					Invalid	Invalid
63401	Mouse						
63403	Eye Tracker			1101	579	Valid	Invalid
63406	Eye Tracker					Invalid	Invalid
63409	Eye Tracker					Invalid	Invalid
63413	Eye Tracker			913	492	Invalid	Valid
63416	Eye Tracker			944	482	Invalid	Valid
63416	Mouse						
63419	Eye Tracker			950	477	Invalid	Valid
63423	Eye Tracker			986	487	Valid	Valid
63426	Eye Tracker			982	481	Valid	Valid
63429	Eye Tracker			981	475	Valid	Valid
63433	Mouse						
63433	Eye Tracker			980	472	Valid	Valid
63436	Eye Tracker			980	473	Valid	Valid
63439	Eye Tracker			980	474	Valid	Valid
63443	Eye Tracker			980	482	Valid	Valid
63446	Eye Tracker			977	481	Valid	Valid
63449	Mouse						
63449	Eye Tracker			977	475	Valid	Valid
63453	Eye Tracker			976	473	Valid	Valid
63456	Eye Tracker			978	474	Valid	Valid
63459	Eye Tracker			977	477	Valid	Valid
63463	Eye Tracker			977	475	Valid	Valid
63466	Eye Tracker			976	473	Valid	Valid
63469	Eye Tracker			977	470	Valid	Valid
63473	Eye Tracker			976	471	Valid	Valid
63476	Eye Tracker			976	467	Valid	Valid
63479	Eye Tracker			977	466	Valid	Valid
63480	Mouse						
63483	Eye Tracker			977	467	Valid	Valid
63486	Eye Tracker			978	463	Valid	Valid
63489	Eye Tracker			981	466	Valid	Valid
63493	Eye Tracker			980	464	Valid	Valid
63496	Eye Tracker			978	469	Valid	Valid
63499	Eye Tracker			978	472	Valid	Valid
63503	Eye Tracker			978	469	Valid	Valid
63506	Eye Tracker			978	468	Valid	Valid
63509	Eye Tracker			982	470	Valid	Valid
63513	Eye Tracker			981	470	Valid	Valid
63516	Eye Tracker			981	469	Valid	Valid
63519	Eye Tracker			979	472	Valid	Valid
63523	Eye Tracker			978	474	Valid	Valid
63526	Eye Tracker			979	468	Valid	Valid
63529	Eye Tracker			976	473	Valid	Valid
63533	Eye Tracker			975	472	Valid	Valid
63536	Eye Tracker			978	477	Valid	Valid
63539	Eye Tracker			976	472	Valid	Valid
63543	Eye Tracker			977	475	Valid	Valid
63546	Eye Tracker			977	469	Valid	Valid
63549	Eye Tracker			977	473	Valid	Valid
63553	Eye Tracker			977	474	Valid	Valid
63556	Eye Tracker			976	470	Valid	Valid
63559	Eye Tracker			979	472	Valid	Valid
63561	Mouse						
63563	Eye Tracker			978	469	Valid	Valid
63566	Eye Tracker			977	471	Valid	Valid
63569	Eye Tracker			976	469	Valid	Valid
63573	Eye Tracker			978	468	Valid	Valid
63576	Eye Tracker			978	471	Valid	Valid
63576	Mouse						
63579	Eye Tracker			975	475	Valid	Valid
63583	Eye Tracker			977	474	Valid	Valid
63586	Eye Tracker			978	474	Valid	Valid
63589	Eye Tracker			977	475	Valid	Valid
63593	Mouse						
63593	Eye Tracker			975	474	Valid	Valid
63596	Eye Tracker			976	473	Valid	Valid
63599	Eye Tracker			976	473	Valid	Valid
63603	Eye Tracker			976	473	Valid	Valid
63606	Eye Tracker			978	475	Valid	Valid
63609	Mouse						
63609	Eye Tracker			979	473	Valid	Valid
63613	Eye Tracker			978	474	Valid	Valid
63616	Eye Tracker			979	472	Valid	Valid
63619	Eye Tracker			980	474	Valid	Valid
63623	Eye Tracker			982	476	Valid	Valid
63625	Mouse						
63626	Eye Tracker			979	476	Valid	Valid
63629	Eye Tracker			976	475	Valid	Valid
63633	Eye Tracker			980	473	Valid	Valid
63636	Eye Tracker			977	482	Valid	Valid
63639	Eye Tracker			966	450	Invalid	Valid
63640	Mouse						
63643	Eye Tracker			1057	531	Invalid	Valid
63646	Eye Tracker			1121	514	Valid	Valid
63649	Eye Tracker					Invalid	Invalid
63653	Eye Tracker					Invalid	Invalid
63656	Eye Tracker					Invalid	Invalid
63657	Mouse						
63659	Eye Tracker					Invalid	Invalid
63663	Eye Tracker					Invalid	Invalid
